epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,30.3583,1.64168,0.6229,0.97306,1.21614,0.00031,0.00031,0.00031
2,66.4579,1.08956,0.85185,0.98653,0.53239,0.00060921,0.00060921,0.00060921
3,95.9566,0.67441,0.91919,1,0.27367,0.0008873,0.0008873,0.0008873
4,130.539,0.47006,0.94613,1,0.19396,0.000901,0.000901,0.000901
5,158.937,0.31173,0.98316,1,0.08828,0.000868,0.000868,0.000868
6,186.094,0.24777,0.99327,1,0.047,0.000835,0.000835,0.000835
7,214.134,0.24131,0.99663,1,0.03612,0.000802,0.000802,0.000802
8,241.408,0.18006,0.99327,1,0.02536,0.000769,0.000769,0.000769
9,268.257,0.19024,0.99327,1,0.0253,0.000736,0.000736,0.000736
10,296.068,0.15043,0.99327,1,0.02908,0.000703,0.000703,0.000703
11,325.587,0.17032,0.99327,1,0.03055,0.00067,0.00067,0.00067
12,361.403,0.13528,0.99327,1,0.0372,0.000637,0.000637,0.000637
