epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.569,1.66087,0.69162,0.96407,1.24591,0.00031,0.00031,0.00031
2,52.5261,1.12575,0.82635,0.99701,0.58987,0.00060921,0.00060921,0.00060921
3,77.3218,0.73138,0.89521,1,0.29957,0.0008873,0.0008873,0.0008873
4,102.063,0.46325,0.95509,1,0.19688,0.000901,0.000901,0.000901
5,127.359,0.33701,0.97904,1,0.11425,0.000868,0.000868,0.000868
6,153.119,0.27184,0.98204,1,0.07569,0.000835,0.000835,0.000835
7,179.399,0.30892,0.99701,1,0.04569,0.000802,0.000802,0.000802
8,205.946,0.19747,0.99701,1,0.0356,0.000769,0.000769,0.000769
9,232.487,0.18516,0.99401,1,0.03361,0.000736,0.000736,0.000736
10,258.619,0.13019,0.99401,1,0.0234,0.000703,0.000703,0.000703
11,284.314,0.16228,0.99401,1,0.02072,0.00067,0.00067,0.00067
12,310.006,0.11415,0.99701,1,0.01476,0.000637,0.000637,0.000637
