epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,21.7693,1.67604,0.56897,0.95402,1.28453,0.00029,0.00029,0.00029
2,45.0059,1.16083,0.78161,0.97126,0.65622,0.00057053,0.00057053,0.00057053
3,66.1702,0.72775,0.9023,1,0.4193,0.00083126,0.00083126,0.00083126
4,87.8717,0.49435,0.9023,1,0.28405,0.000901,0.000901,0.000901
5,110.217,0.39617,0.91954,1,0.25699,0.000868,0.000868,0.000868
6,132.106,0.36898,0.96552,1,0.1693,0.000835,0.000835,0.000835
7,153.972,0.24101,0.96552,1,0.10703,0.000802,0.000802,0.000802
8,175.851,0.22907,0.96552,1,0.0984,0.000769,0.000769,0.000769
9,197.586,0.21511,0.97701,1,0.07806,0.000736,0.000736,0.000736
10,219.443,0.14399,0.98276,1,0.0748,0.000703,0.000703,0.000703
11,241.795,0.15565,0.96552,1,0.08907,0.00067,0.00067,0.00067
12,264.218,0.14684,0.97126,1,0.07797,0.000637,0.000637,0.000637
13,285.956,0.09851,0.97126,1,0.07415,0.000604,0.000604,0.000604
14,307.874,0.10888,0.97701,1,0.0685,0.000571,0.000571,0.000571
15,329.559,0.07533,0.98851,1,0.05529,0.000538,0.000538,0.000538
16,351.375,0.10273,0.98276,1,0.05057,0.000505,0.000505,0.000505
17,373.162,0.06346,0.98276,1,0.08699,0.000472,0.000472,0.000472
18,394.91,0.06628,0.98276,1,0.06053,0.000439,0.000439,0.000439
19,426.403,0.06891,0.98276,1,0.06775,0.000406,0.000406,0.000406
20,453.747,0.09684,0.98276,1,0.0704,0.000373,0.000373,0.000373
